ID,Campaign,Age,Age_Group,Education,Marital_Status,Income,Total_Spent,Response,Recency,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,NumDealsPurchases,Kidhome,Teenhome,Conversion_Status,Spending_Category,Income_Segment
1685,Campaign_A,57,Senior,PhD,Partner,62981.0,1482,0,21,4,5,13,3,1,0,0,Not Converted,High,High
5342,Campaign_A,48,Middle-Aged,Basic,Single,9548.0,29,0,31,1,0,3,8,2,1,0,Not Converted,Very Low,Low
9579,Campaign_A,65,Senior,PhD,Partner,33762.0,106,0,61,2,2,2,8,3,2,1,Not Converted,Low,Medium
7660,Campaign_A,51,Middle-Aged,PhD,Single,35860.0,49,1,37,1,1,2,5,2,1,1,Converted,Very Low,Medium
1461,Campaign_A,59,Senior,PhD,Single,36921.0,38,0,74,2,0,3,7,2,1,1,Not Converted,Very Low,Medium
821,Campaign_B,32,Young,Master,Single,92859.0,2077,0,46,5,4,12,2,1,0,0,Not Converted,High,Very High
11084,Campaign_A,48,Middle-Aged,Master,Partner,65104.0,1053,1,4,3,5,7,7,2,0,1,Converted,High,High
8690,Campaign_B,62,Senior,Graduation,Partner,86111.0,1385,0,73,5,7,10,2,1,0,0,Not Converted,High,High
2937,Campaign_B,50,Middle-Aged,PhD,Single,68352.0,871,0,47,8,5,9,6,3,0,1,Not Converted,Medium,High
9701,Campaign_B,36,Middle-Aged,Graduation,Partner,41883.0,312,0,13,4,2,3,7,3,1,0,Not Converted,Low,Medium
9949,Campaign_A,48,Middle-Aged,Graduation,Partner,59809.0,877,0,36,3,3,6,8,3,0,2,Not Converted,Medium,Medium
10837,Campaign_A,49,Middle-Aged,Graduation,Partner,23957.0,68,1,47,2,0,3,6,1,1,0,Converted,Very Low,Low
3120,Campaign_A,43,Middle-Aged,Graduation,Partner,38547.0,22,0,49,1,0,2,8,1,1,0,Not Converted,Very Low,Medium
5885,Campaign_A,51,Middle-Aged,2n Cycle,Partner,35688.0,211,0,94,4,1,4,8,7,2,1,Not Converted,Low,Medium
4050,Campaign_B,58,Senior,Master,Partner,49605.0,127,0,65,2,1,4,3,1,0,0,Not Converted,Low,Medium
3830,Campaign_A,71,Senior,Master,Partner,59354.0,459,0,59,4,4,7,3,1,0,2,Not Converted,Low,Medium
7987,Campaign_A,55,Middle-Aged,Graduation,Partner,65747.0,460,0,96,8,1,6,6,4,0,1,Not Converted,Low,High
7798,Campaign_A,52,Middle-Aged,2n Cycle,Partner,46344.0,429,0,28,7,1,5,7,4,0,1,Not Converted,Low,Medium
92,Campaign_A,36,Middle-Aged,Graduation,Single,34176.0,89,0,12,3,0,4,6,4,1,0,Not Converted,Very Low,Medium
7055,Campaign_A,72,Senior,PhD,Partner,61010.0,1021,0,57,8,5,11,5,2,0,1,Not Converted,High,High
10240,Campaign_B,75,Senior,Graduation,Partner,69372.0,1381,1,10,10,4,6,4,1,0,0,Converted,High,High
3025,Campaign_A,66,Senior,Graduation,Single,49967.0,306,0,4,6,1,5,7,3,0,1,Not Converted,Low,Medium
9283,Campaign_B,46,Middle-Aged,Graduation,Single,60199.0,18,0,49,0,0,3,4,1,1,2,Not Converted,Very Low,High
9970,Campaign_A,47,Middle-Aged,Graduation,Partner,55375.0,162,0,3,1,1,6,2,1,0,1,Not Converted,Low,Medium
2730,Campaign_B,69,Senior,Graduation,Single,80317.0,1231,0,64,3,4,10,1,1,0,0,Not Converted,High,High
2795,Campaign_A,66,Senior,Master,Single,30523.0,13,0,0,1,0,2,7,1,2,1,Not Converted,Very Low,Medium
9260,Campaign_A,79,Senior,PhD,Partner,70356.0,1706,0,20,10,6,9,6,2,0,0,Not Converted,High,High
8182,Campaign_B,40,Middle-Aged,Graduation,Partner,23228.0,121,0,91,3,0,4,8,4,1,0,Not Converted,Low,Low
10095,Campaign_B,49,Middle-Aged,PhD,Single,74165.0,1293,0,9,5,4,10,2,1,0,0,Not Converted,High,High
8475,Campaign_B,51,Middle-Aged,PhD,Partner,157243.0,1608,0,98,0,22,0,0,15,0,1,Not Converted,High,
4370,Campaign_A,58,Senior,Graduation,Partner,43482.0,88,0,83,2,0,4,6,3,2,1,Not Converted,Very Low,Medium
10573,Campaign_B,71,Senior,Graduation,Single,62551.0,421,0,27,6,7,4,3,1,0,0,Not Converted,Low,High
3712,Campaign_A,65,Senior,Graduation,Single,52332.0,259,0,63,3,2,6,4,1,0,0,Not Converted,Low,Medium
6637,Campaign_A,36,Middle-Aged,Graduation,Single,66951.0,1117,0,46,3,4,7,1,1,0,0,Not Converted,High,High
3152,Campaign_B,67,Senior,Graduation,Partner,26091.0,89,0,84,2,1,3,5,3,1,1,Not Converted,Very Low,Low
5610,Campaign_B,59,Senior,Graduation,Partner,33456.0,36,0,58,1,0,3,7,2,1,1,Not Converted,Very Low,Medium
6460,Campaign_A,42,Middle-Aged,Graduation,Partner,28718.0,57,0,78,2,0,3,8,2,1,0,Not Converted,Very Low,Low
1349,Campaign_A,54,Middle-Aged,Graduation,Partner,50447.0,148,0,4,3,1,3,6,1,2,0,Not Converted,Low,Medium
1880,Campaign_B,65,Senior,PhD,Partner,53537.0,93,0,17,2,1,3,5,2,1,1,Not Converted,Very Low,Medium
641,Campaign_B,57,Senior,Graduation,Single,52074.0,119,0,77,2,2,2,4,1,0,1,Not Converted,Low,Medium
8717,Campaign_B,49,Middle-Aged,PhD,Partner,80427.0,1835,0,56,11,8,8,5,1,0,1,Not Converted,High,High
10314,Campaign_A,76,Senior,PhD,Partner,83837.0,1318,1,79,9,10,5,4,1,0,0,Converted,High,High
10854,Campaign_A,54,Middle-Aged,PhD,Partner,38853.0,45,0,90,2,0,3,7,2,1,1,Not Converted,Very Low,Medium
10492,Campaign_A,65,Senior,Graduation,Partner,38285.0,10,0,96,0,0,3,2,1,2,1,Not Converted,Very Low,Medium
6935,Campaign_A,73,Senior,2n Cycle,Partner,78497.0,978,0,44,5,7,12,2,1,0,0,Not Converted,Medium,High
7698,Campaign_A,48,Middle-Aged,PhD,Partner,51650.0,191,0,81,4,1,4,5,1,0,1,Not Converted,Low,Medium
3559,Campaign_A,36,Middle-Aged,2n Cycle,Partner,16248.0,57,0,77,2,1,3,6,3,1,0,Not Converted,Very Low,Low
10562,Campaign_B,78,Senior,Master,Partner,66835.0,1033,0,21,6,4,13,2,1,0,0,Not Converted,High,High
10796,Campaign_A,40,Middle-Aged,Master,Partner,30477.0,66,0,16,1,1,3,6,1,1,0,Not Converted,Very Low,Medium
2563,Campaign_A,63,Senior,Basic,Partner,28249.0,43,0,80,2,0,3,6,1,0,0,Not Converted,Very Low,Low
3518,Campaign_A,41,Middle-Aged,Graduation,Partner,25271.0,50,0,45,1,1,2,9,1,1,0,Not Converted,Very Low,Low
5823,Campaign_B,54,Middle-Aged,PhD,Single,32303.0,39,0,63,1,0,4,5,2,0,1,Not Converted,Very Low,Medium
3934,Campaign_A,58,Senior,Graduation,Partner,61286.0,608,0,34,7,1,8,5,2,0,1,Not Converted,Medium,High
6982,Campaign_A,48,Middle-Aged,Graduation,Partner,74068.0,1581,0,14,4,10,9,2,1,0,0,Not Converted,High,High
6431,Campaign_B,60,Senior,PhD,Partner,45759.0,68,0,13,2,0,3,7,2,1,1,Not Converted,Very Low,Medium
9733,Campaign_A,46,Middle-Aged,Basic,Partner,24882.0,80,0,52,1,1,2,6,1,1,0,Not Converted,Very Low,Low
5602,Campaign_A,35,Young,PhD,Partner,66973.0,1282,0,98,8,7,12,3,1,0,0,Not Converted,High,High
7829,Campaign_A,124,,2n Cycle,Single,36640.0,65,0,99,2,1,2,5,1,1,0,Not Converted,Very Low,Medium
1324,Campaign_A,36,Middle-Aged,Graduation,Partner,38872.0,91,0,93,3,0,3,8,2,1,0,Not Converted,Very Low,Medium
326,Campaign_A,51,Middle-Aged,Graduation,Partner,51148.0,315,0,38,5,1,6,6,4,1,1,Not Converted,Low,Medium
7224,Campaign_B,47,Middle-Aged,Graduation,Partner,31353.0,31,0,24,1,1,2,8,2,1,1,Not Converted,Very Low,Medium
6999,Campaign_B,44,Middle-Aged,Master,Partner,69661.0,834,0,80,7,3,12,3,1,0,0,Not Converted,Medium,High
9938,Campaign_B,70,Senior,Graduation,Partner,80067.0,1600,0,82,4,6,6,2,1,0,0,Not Converted,High,High
6422,Campaign_A,70,Senior,Graduation,Partner,86718.0,1270,0,20,5,6,5,2,1,0,0,Not Converted,High,High
3182,Campaign_A,51,Middle-Aged,PhD,Single,46854.0,263,1,81,5,1,3,8,6,1,1,Converted,Low,Medium
7300,Campaign_A,72,Senior,Graduation,Single,69142.0,535,0,50,8,1,7,5,3,0,1,Not Converted,Medium,High
10424,Campaign_B,56,Senior,Graduation,Single,75922.0,1295,0,60,4,4,9,1,1,0,0,Not Converted,High,High
8727,Campaign_A,46,Middle-Aged,Graduation,Single,63693.0,1150,0,63,11,6,9,6,3,0,1,Not Converted,High,High
2798,Campaign_A,47,Middle-Aged,PhD,Partner,102160.0,1240,1,54,7,9,10,4,0,0,0,Converted,High,Very High
1030,Campaign_B,59,Senior,PhD,Single,40637.0,38,0,72,1,0,3,7,2,1,1,Not Converted,Very Low,Medium
624,Campaign_A,40,Middle-Aged,Master,Single,18890.0,35,1,5,0,1,2,6,1,0,0,Converted,Very Low,Low
5176,Campaign_B,36,Middle-Aged,Graduation,Partner,29604.0,53,0,88,1,0,3,9,1,1,0,Not Converted,Very Low,Low
5552,Campaign_B,61,Senior,Master,Single,48721.0,293,0,50,4,2,5,6,6,1,1,Not Converted,Low,Medium
868,Campaign_B,58,Senior,Graduation,Partner,44794.0,65,0,99,2,0,3,6,1,0,1,Not Converted,Very Low,Medium
380,Campaign_A,70,Senior,Graduation,Single,64497.0,1804,1,17,11,4,9,8,5,0,1,Converted,High,High
2677,Campaign_A,68,Senior,Graduation,Partner,46097.0,241,0,11,3,1,6,4,5,0,1,Not Converted,Low,Medium
6521,Campaign_A,70,Senior,Graduation,Partner,77972.0,1101,0,18,4,6,9,1,1,0,0,Not Converted,High,High
6927,Campaign_A,56,Senior,PhD,Partner,44377.0,264,0,70,5,1,5,8,8,1,1,Not Converted,Low,Medium
2877,Campaign_A,50,Middle-Aged,Master,Partner,46014.0,541,0,21,7,1,8,7,10,1,1,Not Converted,Medium,Medium
